TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2025-01-02 12:10:33.975,1;2025-01-02 12:10:33.283999;,-102,1.2,11.133168886931,5.14390778541564
2025-01-02 12:10:44.397,1;2025-01-02 12:10:39.295672;,-101,4.5,22.2600349255324,5.14543485641479
2025-01-02 12:10:49.565,1;2025-01-02 12:10:45.307154;,-104,3.8,44.8941885079875,5.14620518684387
2025-01-02 12:11:20.864,1;2025-01-02 12:11:18.345668;,-99,5.0,7.41232402883196,5.14372968673706
2025-01-02 12:11:26.059,1;2025-01-02 12:11:24.357048;,-98,6.0,44.6634585316271,5.1499752998352
2025-01-02 12:11:46.842,1;2025-01-02 12:11:42.389861;,-102,0.5,11.1628868851333,5.1870002746582
2025-01-02 12:12:12.838,1;2025-01-02 12:12:12.444168;,-92,-2.8,8.92431926810566,5.13843488693237
2025-01-02 12:12:49.163,1;2025-01-02 12:12:45.482902;,-96,0.2,6.38674457734977,5.17665767669677
2025-01-02 12:12:54.344,1;2025-01-02 12:12:51.494403;,-97,5.8,44.784636786326,5.16526818275451
2025-01-02 12:13:36.146,1;2025-01-02 12:13:33.568440;,-99,1.0,5.54999156418029,5.33463311195373
2025-01-02 12:14:23.167,1;2025-01-02 12:14:18.631060;,-104,2.5,4.93397654214811,5.17276692390441
2025-01-02 12:14:43.916,1;2025-01-02 12:14:42.674872;,-102,2.5,11.1809650572711,5.20720601081848
2025-01-02 12:16:12.313,1;2025-01-02 12:16:09.806242;,-93,-4.5,2.62451222063344,5.14754104614257
2025-01-02 12:16:17.470,1;2025-01-02 12:16:15.817526;,-102,0.2,44.9940850268717,5.14801812171936
2025-01-02 12:16:22.684,1;2025-01-02 12:16:21.828135;,-103,2.5,44.4965472459866,5.16068458557128
2025-01-02 12:16:38.282,1;2025-01-02 12:16:33.849322;,-98,2.8,14.873186330349,5.14188194274902
2025-01-02 12:17:09.437,1;2025-01-02 12:17:06.886161;,-98,6.2,7.44678846124397,5.14500832557678
2025-01-02 12:17:19.843,1;2025-01-02 12:17:18.907331;,-104,-1.0,22.2946763692844,5.20358729362487
2025-01-02 12:17:40.806,1;2025-01-02 12:17:36.939609;,-113,-0.5,11.0669910978189,5.14503598213195
2025-01-02 12:17:51.214,1;2025-01-02 12:17:48.960512;,-103,1.0,22.2903930775703,5.1590416431427
2025-01-02 12:17:56.384,1;2025-01-02 12:17:54.971252;,-99,7.0,44.875906824844,5.16158056259155
2025-01-02 12:18:01.572,1;2025-01-02 12:18:00.978834;,-101,2.2,44.713917115175,5.14034056663513
2025-01-02 12:18:43.610,1;2025-01-02 12:18:40.026412;,-103,4.2,5.51890891321074,5.14687824249267
2025-01-02 12:18:53.937,1;2025-01-02 12:18:52.049111;,-98,1.5,22.4636552269249,5.14858388900756
2025-01-02 12:19:04.367,1;2025-01-02 12:19:04.071177;,-96,-4.5,22.2432657775518,5.24709510803222
2025-01-02 12:19:25.060,1;2025-01-02 12:19:22.104197;,-98,6.0,11.2117855784128,5.15631222724914
2025-01-02 12:19:30.295,1;2025-01-02 12:19:28.116078;,-104,2.2,44.3169035941934,5.19058322906494
2025-01-02 12:20:01.448,1;2025-01-02 12:20:01.156401;,-96,7.8,7.44712761753255,5.1463017463684
2025-01-02 12:20:11.859,1;2025-01-02 12:20:07.168243;,-103,4.5,22.2838510467904,5.20527982711792
2025-01-02 12:20:17.026,1;2025-01-02 12:20:13.179406;,-104,2.0,44.90202955561,5.15163254737854
2025-01-02 12:20:27.396,1;2025-01-02 12:20:25.200260;,-98,4.2,22.371937214558,5.14166569709777
2025-01-02 12:20:37.756,1;2025-01-02 12:20:37.221077;,-101,4.2,22.3950822250906,5.14072680473327
2025-01-02 12:20:58.443,1;2025-01-02 12:20:55.250017;,-103,4.8,11.2147076593349,5.13995170593261
2025-01-02 12:21:29.577,1;2025-01-02 12:21:28.288972;,-97,3.8,7.45145466960944,5.14562249183654
2025-01-02 12:21:34.737,1;2025-01-02 12:21:34.300372;,-98,7.0,44.9604584580176,5.13824486732482
2025-01-02 12:21:45.159,1;2025-01-02 12:21:40.312187;,-101,1.8,22.2623368291532,5.2002682685852
2025-01-02 12:21:55.506,1;2025-01-02 12:21:52.335126;,-101,0.5,22.4215093448903,5.14440774917602
2025-01-02 12:22:05.883,1;2025-01-02 12:22:04.357187;,-103,4.2,22.3569410930885,5.17643189430236
2025-01-02 12:23:03.190,1;2025-01-02 12:23:01.438234;,-104,1.5,4.04836720268769,5.15904307365417
2025-01-02 12:23:24.047,1;2025-01-02 12:23:19.471828;,-101,4.8,11.1233922808401,5.14411783218383
2025-01-02 12:23:34.404,1;2025-01-02 12:23:31.494459;,-102,6.0,22.4009007151802,5.14790105819702
2025-01-02 12:23:39.577,1;2025-01-02 12:23:37.505754;,-113,4.8,44.8419482526046,5.15373611450195
2025-01-02 12:24:26.486,1;2025-01-02 12:24:22.567051;,-97,5.0,4.94574839022528,5.14866828918457
2025-01-02 12:24:47.203,1;2025-01-02 12:24:46.610731;,-96,-5.2,11.1989445069754,5.15796184539794
2025-01-02 12:24:57.702,1;2025-01-02 12:24:52.622465;,-101,5.8,22.0956901417872,5.2582356929779
2025-01-02 12:25:02.865,1;2025-01-02 12:24:58.632824;,-101,4.8,44.9371002023391,5.14104890823364
2025-01-02 12:25:08.034,1;2025-01-02 12:25:04.643837;,-102,5.8,44.8822674924091,5.15255784988403
2025-01-02 12:25:13.253,1;2025-01-02 12:25:10.654417;,-98,5.5,44.4530447672732,5.21072673797607
2025-01-02 12:25:39.188,1;2025-01-02 12:25:37.690978;,-103,4.8,8.94543832378551,5.16143822669982
2025-01-02 12:25:44.490,1;2025-01-02 12:25:43.701607;,-103,-1.8,43.7593924114205,5.29358696937561
2025-01-02 12:26:10.401,1;2025-01-02 12:26:07.745557;,-99,4.2,8.95363698760506,5.14767718315124
2025-01-02 12:26:16.066,1;2025-01-02 12:26:13.757169;,-99,4.0,40.9556539094698,5.61742043495178
2025-01-02 12:26:21.276,1;2025-01-02 12:26:19.769040;,-95,-5.0,44.527539296043,5.13965845108032
2025-01-02 12:26:36.784,1;2025-01-02 12:26:31.791862;,-102,4.0,14.9600400533893,5.14334678649902
2025-01-02 12:27:07.983,1;2025-01-02 12:27:04.839142;,-82,-2.2,7.4361039793701,5.14448261260986
