Variable 1,Variable 2,Variable 3,Variable 4,Correlation (r),R²
KineticEnergy,RainAccumulated,SnowDepthIntensity,Temperature,0.3367351551294237,0.11339056470003704
AverageParticleSpeed,Pressure,RainRate,VolumeEquivalentDiameter,-0.33633444374856153,0.1131208580516543
AverageParticleSpeed,RadarReflectivity,RainAbsolute,RainAccumulated,0.3282717163117566,0.10776231973026641
RadarReflectivity,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.3282717163117566,0.10776231973026641
RadarReflectivity,RainAbsolute,RainAccumulated,RainRate,0.32827171631175633,0.10776231973026623
Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,0.3281040481818086,0.10765226643329058
RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,0.32685174013677976,0.106832060030441
KineticEnergy,RadarReflectivity,RainAbsolute,RainAccumulated,0.3262850634090703,0.10646194260386103
RadarReflectivity,RainAbsolute,RainAccumulated,WindSpeed,0.32032249474006497,0.10260650063649895
AverageParticleSpeed,ParticlesDetected,RainAbsolute,RainAccumulated,0.32008541624706943,0.1024546736940597
ParticlesDetected,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,0.32008541624706943,0.1024546736940597
ParticlesDetected,RainAbsolute,RainAccumulated,RainRate,0.32008541624706904,0.10245467369405944
ParticlesDetected,Pressure,RainAbsolute,RainAccumulated,0.3198966580335005,0.10233387182100234
RainAbsolute,SnowDepthIntensity,Temperature,WindSpeed,0.31941738330251046,0.10202746475582289
RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.31941738330251046,0.10202746475582289
ParticlesDetected,RainAbsolute,RainAccumulated,RainIntensity,0.3185480224353493,0.1014728425974718
KineticEnergy,ParticlesDetected,RainAbsolute,RainAccumulated,0.3179058160543113,0.1010641078811576
RadarReflectivity,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.31532135343542755,0.09942755593234982
RadarReflectivity,RainAbsolute,RainAccumulated,Temperature,0.3148067806415721,0.09910330913791088
ParticlesDetected,RainAbsolute,RainAccumulated,WindSpeed,0.31107678060954197,0.09676876343439711
ParticlesDetected,RainAbsolute,RainAccumulated,SnowDepthIntensity,0.30719408692065986,0.09436820703901792
ParticlesDetected,RainAbsolute,RainAccumulated,Temperature,0.30698407652502047,0.09423922323991962
AverageParticleSpeed,Humidity,RainAbsolute,RainRate,0.3022856136258484,0.09137659220515569
AverageParticleSpeed,Humidity,RainAccumulated,RainRate,0.3022856136258484,0.09137659220515569
Humidity,RainAbsolute,RainRate,VolumeEquivalentDiameter,0.3022856136258484,0.09137659220515569
Humidity,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3022856136258484,0.09137659220515569
AverageParticleSpeed,Humidity,RainAbsolute,VolumeEquivalentDiameter,0.30228561362584805,0.0913765922051555
AverageParticleSpeed,Humidity,RainAccumulated,VolumeEquivalentDiameter,0.30228561362584805,0.0913765922051555
Humidity,Pressure,RainAbsolute,RainRate,0.3018446763739593,0.09111020865530021
Humidity,Pressure,RainAccumulated,RainRate,0.3018446763739593,0.09111020865530021
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,0.301844676373959,0.09111020865530005
AverageParticleSpeed,Humidity,Pressure,RainAccumulated,0.301844676373959,0.09111020865530005
Humidity,Pressure,RainAbsolute,VolumeEquivalentDiameter,0.301844676373959,0.09111020865530005
Humidity,Pressure,RainAccumulated,VolumeEquivalentDiameter,0.301844676373959,0.09111020865530005
AverageParticleSpeed,Humidity,RainAbsolute,RainIntensity,0.29967777704869114,0.08980677005684504
AverageParticleSpeed,Humidity,RainAccumulated,RainIntensity,0.29967777704869114,0.08980677005684504
Humidity,RainAbsolute,RainIntensity,RainRate,0.29967777704869114,0.08980677005684504
Humidity,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,0.29967777704869114,0.08980677005684504
Humidity,RainAccumulated,RainIntensity,RainRate,0.29967777704869114,0.08980677005684504
Humidity,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.29967777704869114,0.08980677005684504
Humidity,Pressure,RainAbsolute,RainIntensity,0.29922284649213604,0.08953431186285642
Humidity,Pressure,RainAccumulated,RainIntensity,0.29922284649213604,0.08953431186285642
Humidity,KineticEnergy,RainAbsolute,RainRate,0.2987081196351418,0.0892265407359622
Humidity,KineticEnergy,RainAccumulated,RainRate,0.2987081196351418,0.0892265407359622
